"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"NORTHWEST","All",2020-04-27,3
"SOUTHEAST","All",2020-04-23,1
"SOUTHWEST","All",2020-04-21,3
"SOUTHEAST","All",2020-04-26,2
"EASTERN","All",2020-04-30,14
"EASTERN","All",2020-04-29,20
"SOUTHEAST","All",2020-04-30,2
"NORTHWEST","All",2020-04-30,1
"NORTHWEST","All",2020-04-22,2
"EASTERN","All",2020-05-01,20
"SOUTHEAST","All",2020-04-21,1
"SOUTHWEST","All",2020-05-01,1
"EASTERN","All",2020-05-02,10
"EASTERN","All",2020-05-03,10
"SOUTHEAST","All",2020-04-29,2
"SOUTHEAST","All",2020-04-20,1
"NORTHWEST","All",2020-05-01,5
"EASTERN","All",2020-05-04,11
"EASTERN","All",2020-05-05,9
"EASTERN","All",2020-05-06,9
"NORTHWEST","All",2020-05-07,3
"NORTHWEST","All",2020-05-06,1
"EASTERN","All",2020-05-11,9
"EASTERN","All",2020-05-13,7
"NORTHWEST","All",2020-05-04,1
"NORTHWEST","All",2020-05-08,2
"EASTERN","All",2020-05-09,4
"EASTERN","All",2020-05-08,11
"CENTRAL","All",2020-05-09,1
"NORTHWEST","All",2020-05-10,1
"EASTERN","All",2020-05-10,7
"NORTHWEST","All",2020-05-12,1
"EASTERN","All",2020-05-12,7
"SOUTHEAST","All",2020-05-10,1
"NORTHWEST","All",2020-04-26,1
"NORTHWEST","All",2020-05-14,2
"SOUTHEAST","All",2020-05-13,1
"SOUTHEAST","All",2020-05-14,4
"SOUTHEAST","All",2020-05-08,1
"EASTERN","All",2020-05-14,7
"SOUTHEAST","All",2020-05-15,1
"SOUTHEAST","All",2020-05-05,2
"SOUTHWEST","All",2020-05-13,1
"EASTERN","All",2020-05-15,2
"EASTERN","All",2020-05-16,11
"NORTHWEST","All",2020-05-17,1
"EASTERN","All",2020-05-17,1
"CENTRAL","All",2020-04-02,1
"EASTERN","All",2020-03-10,1
"EASTERN","All",2020-03-03,1
"SOUTHEAST","All",2020-05-07,1
"NORTHWEST","All",2020-03-09,1
"EASTERN","All",2020-03-04,1
"SOUTHWEST","All",2020-03-29,1
"CENTRAL","All",2020-04-15,1
"NORTHWEST","All",2020-05-11,1
"NORTHWEST","All",2020-05-05,1
"SOUTHEAST","All",2020-04-17,1
"NORTHWEST","All",2020-05-09,1
"NORTHWEST","All",2020-03-07,1
"CENTRAL","All",2020-03-13,1
"NORTHWEST","All",2020-04-29,1
"EASTERN","St louis",2020-03-13,3
"NORTHWEST","Kansas City",2020-03-12,1
"NORTHWEST","Kansas City",2020-03-17,3
"NORTHWEST","Kansas City",2020-03-11,3
"EASTERN","St louis",2020-03-20,18
"EASTERN","St louis",2020-03-21,7
"EASTERN","St louis",2020-03-16,5
"EASTERN","St louis",2020-03-22,14
"EASTERN","St louis",2020-03-18,9
"EASTERN","St Charles",2020-03-22,2
"EASTERN","St louis",2020-03-17,2
"EASTERN","St Charles",2020-03-21,1
"EASTERN","St louis",2020-03-08,3
"EASTERN","St louis",2020-03-15,6
"EASTERN","St louis",2020-03-14,2
"EASTERN","St louis",2020-03-23,20
"EASTERN","St Charles",2020-03-18,2
"EASTERN","St Charles",2020-03-06,1
"EASTERN","St louis",2020-03-24,15
"EASTERN","St Charles",2020-03-19,1
"NORTHWEST","Kansas City",2020-03-24,2
"EASTERN","St louis",2020-03-25,16
"NORTHWEST","Kansas City",2020-03-16,2
"EASTERN","St louis",2020-03-09,3
"NORTHWEST","Kansas City",2020-03-14,2
"EASTERN","St louis",2020-03-26,15
"NORTHWEST","Kansas City",2020-03-23,9
"EASTERN","St louis",2020-03-19,12
"EASTERN","St louis",2020-04-10,12
"NORTHWEST","Kansas City",2020-03-19,3
"NORTHWEST","Kansas City",2020-03-27,4
"EASTERN","St louis",2020-03-28,16
"EASTERN","St louis",2020-03-29,11
"EASTERN","St louis",2020-03-27,16
"EASTERN","St Charles",2020-03-25,4
"NORTHWEST","Kansas City",2020-03-26,2
"EASTERN","St louis",2020-04-05,15
"NORTHWEST","Kansas City",2020-03-22,1
"EASTERN","St louis",2020-03-30,8
"EASTERN","St Charles",2020-03-26,2
"EASTERN","St louis",2020-03-31,11
"NORTHWEST","Kansas City",2020-03-31,2
"NORTHWEST","Kansas City",2020-03-25,4
"EASTERN","St louis",2020-02-14,1
"EASTERN","St Charles",2020-03-30,4
"NORTHWEST","Kansas City",2020-03-28,3
"EASTERN","St louis",2020-04-02,7
"EASTERN","St louis",2020-04-01,8
"EASTERN","St Charles",2020-04-02,4
"NORTHWEST","Kansas City",2020-03-18,2
"NORTHWEST","Kansas City",2020-03-30,2
"EASTERN","St louis",2020-04-03,11
"EASTERN","St Charles",2020-04-01,1
"EASTERN","St Charles",2020-03-16,1
"NORTHWEST","Kansas City",2020-04-02,1
"EASTERN","St louis",2020-04-04,12
