"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"NORTHWEST","All",2020-04-08,31
"SOUTHWEST","All",2020-03-29,4
"SOUTHEAST","All",2020-04-03,5
"EASTERN","All",2020-04-16,155
"SOUTHWEST","All",2020-04-06,4
"CENTRAL","All",2020-04-08,4
"EASTERN","All",2020-04-09,170
"SOUTHWEST","All",2020-04-08,2
"SOUTHWEST","All",2020-04-07,2
"NORTHWEST","All",2020-04-09,37
"SOUTHEAST","All",2020-04-04,5
"EASTERN","All",2020-04-15,136
"SOUTHWEST","All",2020-04-10,3
"SOUTHWEST","All",2020-04-04,4
"SOUTHEAST","All",2020-04-06,5
"EASTERN","All",2020-04-12,96
"SOUTHEAST","All",2020-04-05,5
"NORTHWEST","All",2020-04-10,34
"SOUTHEAST","All",2020-04-11,6
"NORTHWEST","All",2020-04-11,29
"EASTERN","All",2020-04-11,130
"CENTRAL","All",2020-04-11,4
"CENTRAL","All",2020-03-13,4
"SOUTHEAST","All",2020-03-11,1
"SOUTHEAST","All",2020-04-09,9
"SOUTHEAST","All",2020-04-13,3
"EASTERN","All",2020-02-11,1
"NORTHWEST","All",2020-04-13,20
"SOUTHWEST","All",2020-04-09,2
"CENTRAL","All",2020-04-10,8
"NORTHWEST","All",2020-04-12,30
"CENTRAL","All",2020-04-13,13
"SOUTHWEST","All",2020-04-12,7
"EASTERN","All",2020-04-14,135
"CENTRAL","All",2020-04-12,4
"CENTRAL","All",2020-04-09,2
"NORTHWEST","All",2020-04-14,28
"NORTHWEST","All",2020-04-15,41
"SOUTHEAST","All",2020-04-15,13
"NORTHWEST","All",2020-04-22,47
"SOUTHEAST","All",2020-04-14,11
"SOUTHEAST","All",2020-04-08,6
"EASTERN","All",2020-04-17,131
"CENTRAL","All",2020-04-15,9
"SOUTHEAST","All",2020-04-12,2
"SOUTHWEST","All",2020-04-14,9
"CENTRAL","All",2020-04-14,5
"NORTHWEST","All",2020-04-16,25
"SOUTHEAST","All",2020-04-02,2
"CENTRAL","All",2020-04-05,2
"SOUTHWEST","All",2020-04-15,4
"SOUTHEAST","All",2020-04-10,7
"NORTHWEST","All",2020-04-30,162
"SOUTHEAST","All",2020-04-16,6
"SOUTHEAST","All",2020-04-17,7
"NORTHWEST","All",2020-04-17,23
"EASTERN","All",2020-04-19,90
"CENTRAL","All",2020-04-17,9
"CENTRAL","All",2020-04-16,7
"EASTERN","All",2020-04-18,123
"CENTRAL","All",2020-04-20,7
"CENTRAL","All",2020-04-18,3
"NORTHWEST","All",2020-04-18,27
"SOUTHWEST","All",2020-04-17,2
"EASTERN","All",2020-04-20,149
"SOUTHWEST","All",2020-04-13,3
"SOUTHWEST","All",2020-04-19,1
"NORTHWEST","All",2020-04-19,16
"CENTRAL","All",2020-04-19,3
"EASTERN","All",2020-04-24,139
"NORTHWEST","All",2020-04-20,38
"EASTERN","All",2020-04-21,125
"NORTHWEST","All",2020-04-24,48
"NORTHWEST","All",2020-04-21,25
"SOUTHWEST","All",2020-04-16,3
"SOUTHEAST","All",2020-04-18,1
"SOUTHEAST","All",2020-04-21,10
"EASTERN","All",2020-04-22,150
"SOUTHEAST","All",2020-04-20,5
"EASTERN","All",2020-04-23,130
"SOUTHWEST","All",2020-04-21,6
"NORTHWEST","All",2020-04-23,58
"SOUTHWEST","All",2020-04-11,2
"CENTRAL","All",2020-04-23,5
"CENTRAL","All",2020-04-22,3
"CENTRAL","All",2020-04-21,1
"EASTERN","All",2020-04-28,99
"SOUTHEAST","All",2020-04-23,22
"SOUTHEAST","All",2020-04-24,9
"EASTERN","All",2020-05-07,115
"EASTERN","All",2020-04-25,134
"NORTHWEST","All",2020-04-25,42
"SOUTHWEST","All",2020-04-25,2
"SOUTHEAST","All",2020-04-22,8
"SOUTHEAST","All",2020-04-25,4
"NORTHWEST","All",2020-04-26,33
"EASTERN","All",2020-04-26,101
"NORTHWEST","All",2020-04-27,33
"EASTERN","All",2020-04-27,94
"NORTHWEST","All",2020-04-28,57
"SOUTHWEST","All",2020-04-26,1
"NORTHWEST","All",2020-04-29,65
"EASTERN","All",2020-04-29,137
"SOUTHEAST","All",2020-04-19,1
"SOUTHWEST","All",2020-04-29,5
"SOUTHWEST","All",2020-04-27,2
"SOUTHEAST","All",2020-04-28,10
"CENTRAL","All",2020-04-27,1
"SOUTHEAST","All",2020-04-26,2
"SOUTHEAST","All",2020-04-30,7
"CENTRAL","All",2020-04-29,1
"EASTERN","All",2020-04-30,111
"NORTHWEST","All",2020-05-03,38
"NORTHWEST","All",2020-02-29,1
"SOUTHEAST","All",2020-04-27,4
"CENTRAL","All",2020-04-28,2
"CENTRAL","All",2020-04-30,5
"CENTRAL","All",2020-04-24,2
"EASTERN","All",2020-05-01,177
"NORTHWEST","All",2020-05-01,133
"SOUTHEAST","All",2020-05-01,7
"SOUTHEAST","All",2020-04-29,6
"CENTRAL","All",2020-05-01,4
"SOUTHWEST","All",2020-04-24,1
"EASTERN","All",2020-05-04,75
"EASTERN","All",2020-05-02,152
"NORTHWEST","All",2020-05-02,58
"SOUTHWEST","All",2020-05-01,5
"CENTRAL","All",2020-04-25,3
"EASTERN","All",2020-05-03,106
"SOUTHEAST","All",2020-05-02,8
"EASTERN","All",2020-05-09,51
"NORTHWEST","All",2020-05-08,51
"NORTHWEST","All",2020-05-05,46
"SOUTHEAST","All",2020-05-03,14
"NORTHWEST","All",2020-05-04,81
"CENTRAL","All",2020-05-04,1
"EASTERN","All",2020-05-05,71
"SOUTHEAST","All",2020-05-05,9
"CENTRAL","All",2020-05-03,3
"EASTERN","All",2020-05-06,133
"SOUTHWEST","All",2020-05-03,3
"NORTHWEST","All",2020-05-06,68
"CENTRAL","All",2020-05-05,2
"NORTHWEST","All",2020-05-07,56
"SOUTHEAST","All",2020-05-06,3
"CENTRAL","All",2020-05-06,3
"SOUTHWEST","All",2020-04-28,1
"EASTERN","All",2020-05-11,62
"SOUTHWEST","All",2020-05-02,2
"SOUTHWEST","All",2020-05-04,3
"SOUTHEAST","All",2020-05-07,17
"EASTERN","All",2020-05-13,95
"NORTHWEST","All",2020-01-01,1
"SOUTHWEST","All",2020-05-06,5
"EASTERN","All",2020-05-08,112
"CENTRAL","All",2020-05-07,3
"SOUTHWEST","All",2020-05-07,1
"SOUTHEAST","All",2020-05-08,10
"SOUTHEAST","All",2020-05-04,6
"SOUTHWEST","All",2020-04-22,2
"CENTRAL","All",2020-05-09,9
"NORTHWEST","All",2020-05-10,25
"NORTHWEST","All",2020-05-09,36
"SOUTHWEST","All",2020-05-09,2
"SOUTHEAST","All",2020-05-09,3
"EASTERN","All",2020-05-10,48
"NORTHWEST","All",2020-05-11,46
"SOUTHEAST","All",2020-05-10,2
"SOUTHEAST","All",2020-05-11,2
"SOUTHWEST","All",2020-05-11,2
"CENTRAL","All",2020-05-11,5
"NORTHWEST","All",2020-05-12,33
"CENTRAL","All",2020-05-10,2
"EASTERN","All",2020-05-12,79
"SOUTHWEST","All",2020-05-13,3
"CENTRAL","All",2020-05-12,10
"NORTHWEST","All",2020-05-13,52
"SOUTHWEST","All",2020-05-12,1
"EASTERN","All",2020-05-14,89
"NORTHWEST","All",2020-05-14,73
"SOUTHEAST","All",2020-05-13,2
"SOUTHEAST","All",2020-05-14,4
"CENTRAL","All",2020-05-13,8
"CENTRAL","All",2020-05-14,19
